Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Rambrouch;2;*;*;0;*;*
Reckange-sur-Mess;14;4 455 €;2593 € - 5267 €;0;*;*
Redange;0;*;*;0;*;*
Reisdorf;3;*;*;0;*;*
Remich;30;4 319 €;2703 € - 5830 €;0;*;*
Roeser;60;4 893 €;3539 € - 6015 €;7;*;*
Rosport;2;*;*;0;*;*
Rumelange;39;4 013 €;2854 € - 4971 €;3;*;*
Saeul;5;*;*;0;*;*
Sandweiler;14;5 572 €;3842 € - 7223 €;0;*;*
Sanem;95;4 120 €;2805 € - 5348 €;65;5 155 €;4621 € - 5713 €
Schengen;23;3 984 €;2873 € - 5217 €;1;*;*
Schieren;6;*;*;4;*;*
Schifflange;77;4 313 €;2751 € - 5967 €;104;5 136 €;4082 € - 5954 €
Schuttrange;11;4 876 €;2435 € - 6078 €;4;*;*
Septfontaines;0;*;*;0;*;*
Stadtbredimus;11;4 291 €;3456 € - 5359 €;0;*;*
Steinfort;14;4 343 €;2877 € - 5994 €;9;*;*
Steinsel;15;5 279 €;3381 € - 7342 €;6;*;*
Strassen;56;6 417 €;4462 € - 7961 €;75;7 690 €;6698 € - 8804 €
Tandel;6;*;*;0;*;*
Troisvierges;3;*;*;0;*;*
Tuntange;4;*;*;1;*;*
Useldange;4;*;*;0;*;*
Vallée de l'Ernz;11;3 523 €;2128 € - 4884 €;0;*;*
Vianden;5;*;*;0;*;*
Vichten;2;*;*;0;*;*
Wahl;1;*;*;0;*;*
Waldbillig;3;*;*;3;*;*
Waldbredimus;1;*;*;0;*;*
Walferdange;44;5 249 €;4123 € - 6858 €;5;*;*
Weiler-la-Tour;6;*;*;0;*;*
Weiswampach;8;*;*;20;4 037 €;3532 € - 4646 €
Wiltz;19;3 144 €;1854 € - 4477 €;19;4 171 €;3778 € - 4718 €
Wincrange;3;*;*;0;*;*
Winseler;9;*;*;0;*;*
Wormeldange;12;3 733 €;2602 € - 5094 €;2;*;*
