Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Beaufort;4;*;*;0;*;*
Bech;3;*;*;0;*;*
Beckerich;10;3 370 €;2583 € - 4342 €;9;*;*
Berdorf;2;*;*;2;*;*
Bertrange;33;6 310 €;4286 € - 8646 €;13;7 137 €;5608 € - 8391 €
Bettembourg;44;4 622 €;3565 € - 6151 €;41;5 278 €;4821 € - 6274 €
Bettendorf;5;*;*;5;*;*
Betzdorf;12;4 358 €;2465 € - 5431 €;2;*;*
Bissen;13;4 174 €;3261 € - 5973 €;12;4 351 €;3365 € - 4897 €
Biwer;3;*;*;0;*;*
Boevange-sur-Attert;3;*;*;8;*;*
Boulaide;2;*;*;0;*;*
Bourscheid;1;*;*;0;*;*
Bous;8;*;*;1;*;*
Clervaux;20;3 616 €;2405 € - 4881 €;18;3 783 €;3357 € - 4365 €
Colmar-Berg;29;4 131 €;3360 € - 5072 €;0;*;*
Consdorf;6;*;*;0;*;*
Contern;21;5 084 €;3765 € - 6200 €;5;*;*
Dalheim;3;*;*;2;*;*
Diekirch;38;4 016 €;2247 € - 5874 €;47;5 307 €;4013 € - 6193 €
Differdange;229;3 999 €;2853 € - 5408 €;115;4 511 €;3550 € - 5427 €
Dippach;10;4 394 €;2363 € - 6360 €;19;5 104 €;4605 € - 6291 €
Dudelange;149;4 312 €;3114 € - 5355 €;28;5 250 €;4399 € - 6085 €
Echternach;24;4 191 €;2451 € - 5585 €;10;5 027 €;4298 € - 5620 €
Ell;5;*;*;7;*;*
Erpeldange;9;*;*;1;*;*
Esch-sur-Alzette;294;4 069 €;2735 € - 5321 €;42;5 668 €;4540 € - 6938 €
Esch-sur-Sûre;1;*;*;13;3 874 €;3450 € - 4068 €
Eschweiler;0;;;0;*;*
Ettelbruck;55;3 898 €;2733 € - 5548 €;37;5 422 €;4773 € - 6137 €
Feulen;3;*;*;7;*;*
Fischbach;2;*;*;2;*;*
Flaxweiler;2;*;*;0;*;*
Frisange;39;4 582 €;3057 € - 6000 €;7;*;*
Garnich;3;*;*;0;*;*
Goesdorf;8;*;*;0;*;*
Grevenmacher;39;3 981 €;2875 € - 5214 €;0;*;*
Grosbous;3;*;*;1;*;*
Heffingen;8;*;*;2;*;*
Hesperange;122;5 591 €;3860 € - 7226 €;14;7 181 €;6405 € - 8942 €
Hobscheid;18;4 055 €;2733 € - 5748 €;13;4 844 €;4391 € - 5568 €
Junglinster;21;5 080 €;4306 € - 5746 €;16;5 774 €;5143 € - 6874 €
Kaerjeng;60;4 240 €;2807 € - 5685 €;0;*;*
Kayl;72;4 528 €;3152 € - 5941 €;86;4 893 €;3859 € - 5913 €
Kehlen;16;4 713 €;3644 € - 6320 €;21;5 441 €;4930 € - 6125 €
Kiischpelt;1;*;*;0;*;*
Koerich;0;*;*;0;*;*
Kopstal;15;6 053 €;3156 € - 8062 €;3;*;*
Lac de la Haute-Sûre;3;*;*;0;*;*
Larochette;9;*;*;0;*;*
Lenningen;7;*;*;0;*;*
Leudelange;14;5 440 €;4194 € - 6719 €;0;*;*
Lintgen;18;4 727 €;3399 € - 6275 €;20;5 281 €;4891 € - 6088 €
Lorentzweiler;1;*;*;12;5 633 €;4427 € - 7345 €
Luxembourg-Ville;560;6 638 €;4389 € - 9545 €;641;7 587 €;5965 € - 9666 €
Mamer;39;5 196 €;3068 € - 6407 €;24;5 949 €;5101 € - 7011 €
Manternach;2;*;*;2;*;*
Mersch;47;4 628 €;3219 € - 5898 €;23;4 984 €;3586 € - 6043 €
Mertert;28;4 101 €;2743 € - 5158 €;6;*;*
Mertzig;2;*;*;7;*;*
Mompach;0;*;*;0;*;*
Mondercange;32;4 531 €;3636 € - 5978 €;5;*;*
Mondorf-les-Bains;57;4 476 €;3036 € - 6163 €;39;5 719 €;5299 € - 6521 €
Niederanven;3;*;*;0;*;*
Nommern;3;*;*;4;*;*
Parc Hosingen;4;*;*;2;*;*
Petange;153;3 830 €;2607 € - 4897 €;90;4 382 €;3527 € - 5488 €
Preizerdaul;1;*;*;0;*;*
Putscheid;0;*;*;0;*;*
