Commune,Nombre de ventes,Prix moyen au m²,Nombre de VEFA,Densité par km²,Année,Salaire moyen
Lintgen,18,4 727 ,20,184.33,2016,4368.89
Mamer,39,5 196 ,24,315.72,2016,6201.54
Mersch,47,4 628 ,23,181.87,2016,4192.83
Mertert,28,4 101 ,6,286.16,2016,4108.76
Mondercange,32,4 531 ,5,304.21,2016,5193.27
Mondorf-les-Bains,57,4 476 ,39,351.39,2016,4347.23
Reckange-sur-Mess,14,4 455 ,0,112.83,2016,5892.27
Remich,30,4 319 ,0,658.22,2016,4041.63
Roeser,60,4 893 ,7,247.52,2016,5024.58
Rumelange,39,4 013 ,3,793.85,2016,3459.33
Sandweiler,14,5 572 ,0,446.31,2016,6071.79
Sanem,95,4 120 ,65,644.88,2016,4248.8
Schengen,23,3 984 ,1,146.88,2016,4667.52
Schifflange,77,4 313 ,104,1287.16,2016,3726.13
Schuttrange,11,4 876 ,4,257.58,2016,7069.63
Stadtbredimus,11,4 291 ,0,176.4,2016,4560.86
Steinfort,14,4 343 ,9,391.61,2016,4814.76
Steinsel,15,5 279 ,6,237.09,2016,6088.68
Strassen,56,6 417 ,75,793.37,2016,7422.0
Vallée de l'Ernz,11,3 523 ,0,64.69,2016,3842.47
Bertrange,35,6 501 ,114,459.98,2017,7538.72
Bettembourg,57,5 047 ,19,499.58,2017,4388.87
Bissen,17,4 339 ,3,145.59,2017,4507.49
Clervaux,18,3 568 ,11,59.6,2017,3793.09
Colmar-Berg,16,4 526 ,0,176.69,2017,4377.74
Contern,16,5 659 ,0,181.8,2017,6559.99
Diekirch,45,4 614 ,36,521.1,2017,4014.07
Differdange,242,4 266 ,100,1145.27,2017,3290.18
Dippach,18,4 898 ,20,239.84,2017,5595.28
Dudelange,151,4 333 ,56,957.9,2017,4137.28
Echternach,40,4 080 ,6,269.89,2017,3779.74
Esch-sur-Alzette,321,4 298 ,43,2395.68,2017,3639.95
Esch-sur-Sûre,11,3 325 ,16,51.5,2017,3933.82
Ettelbruck,69,4 295 ,42,581.88,2017,3732.96
Frisange,43,5 138 ,11,247.26,2017,5542.86
Grevenmacher,31,4 509 ,0,298.73,2017,4393.12
Hesperange,135,5 793 ,24,552.87,2017,6440.89
Junglinster,21,5 270 ,8,136.1,2017,6091.36
Kayl,90,4 608 ,64,604.44,2017,3925.81
Kehlen,20,4 414 ,28,209.47,2017,6427.91
Larochette,15,3 808 ,0,140.39,2017,3789.61
Leudelange,16,6 097 ,2,191.3,2017,6606.46
