Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Kiischpelt;1;*;*;4;*;*
Koerich;5;*;*;0;*;*
Kopstal;9;*;*;22;10 851 €;6948 € - 13351 €
Lac de la Haute-Sûre;9;*;*;5;*;*
Larochette;18;7 058 €;5213 € - 8362 €;0;*;*
Lenningen;2;*;*;0;*;*
Leudelange;10;9 807 €;6403 € - 12864 €;0;*;*
Lintgen;27;8 421 €;7059 € - 10221 €;2;*;*
Lorentzweiler;16;8 122 €;3589 € - 10493 €;22;9 119 €;7411 € - 11786 €
Luxembourg-Ville;603;11 587 €;8276 € - 15343 €;146;14 293 €;10513 € - 17566 €
Mamer;29;9 034 €;6101 € - 11893 €;32;10 404 €;6970 € - 12835 €
Manternach;1;*;*;0;*;*
Mersch;39;8 510 €;6310 € - 11297 €;23;10 891 €;9358 € - 12099 €
Mertert;29;8 478 €;5943 € - 11603 €;75;8 057 €;7175 € - 9484 €
Mertzig;4;*;*;0;*;*
Mondercange;26;8 351 €;4878 € - 10533 €;7;*;*
Mondorf-les-Bains;40;8 774 €;6296 € - 11386 €;0;*;*
Niederanven;2;*;*;14;9 003 €;6956 € - 12061 €
Nommern;2;*;*;0;*;*
Parc Hosingen;5;*;*;9;*;*
Petange;151;7 637 €;5615 € - 9692 €;34;7 185 €;5569 € - 9015 €
Preizerdaul;3;*;*;0;*;*
Putscheid;2;*;*;3;*;*
Rambrouch;5;*;*;0;*;*
Reckange-sur-Mess;11;8 522 €;7141 € - 10003 €;50;7 890 €;6658 € - 9832 €
Redange;6;*;*;8;*;*
Reisdorf;4;*;*;0;*;*
Remich;23;7 970 €;6146 € - 10285 €;7;*;*
Roeser;62;8 952 €;7124 € - 10051 €;15;8 773 €;6872 € - 11830 €
Rosport-Mompach;6;*;*;2;*;*
Rumelange;32;7 256 €;5703 € - 9500 €;0;*;*
Saeul;2;*;*;0;*;*
Sandweiler;24;8 665 €;6492 € - 10740 €;3;*;*
Sanem;100;8 036 €;5378 € - 10412 €;104;8 350 €;6925 € - 9941 €
Schengen;21;7 010 €;4387 € - 8844 €;0;*;*
Schieren;5;*;*;0;*;*
Schifflange;81;8 651 €;6384 € - 11061 €;6;*;*
Schuttrange;11;8 725 €;7338 € - 10065 €;2;*;*
Stadtbredimus;8;*;*;0;*;*
Steinfort;24;8 210 €;3718 € - 10377 €;29;8 903 €;7348 € - 10189 €
Steinsel;9;*;*;54;10 612 €;8611 € - 12898 €
Strassen;60;10 896 €;7923 € - 14058 €;0;*;*
Tandel;2;*;*;0;*;*
Troisvierges;10;5 087 €;3441 € - 6849 €;0;*;*
Useldange;6;*;*;0;*;*
Vallée de l'Ernz;4;*;*;3;*;*
Vianden;8;*;*;0;*;*
Vichten;1;*;*;0;*;*
Wahl;0;*;*;0;*;*
Waldbillig;5;*;*;0;*;*
Waldbredimus;0;*;*;0;*;*
Walferdange;37;9 835 €;7534 € - 13141 €;20;12 207 €;9770 € - 14524 €
Weiler-la-Tour;10;8 980 €;6925 € - 11042 €;0;*;*
Weiswampach;11;6 414 €;4791 € - 8227 €;50;5 640 €;4626 € - 7002 €
Wiltz;38;6 144 €;3616 € - 8303 €;29;6 022 €;4358 € - 7859 €
Wincrange;3;*;*;0;*;*
Winseler;8;*;*;0;*;*
Wormeldange;7;*;*;4;*;*
