Commune;Nombre de ventes;Prix moyen au m²;Fourchette de prix au m²;Nombre de VEFA;Prix moyen au m²;Fourchette de prix au m²
Luxembourg-Ville;660;7 074 €;4636 € - 9635 €;605;8 122 €;6197 € - 10761 €
Mamer;40;5 716 €;3921 € - 6793 €;43;6 491 €;5707 € - 7688 €
Manternach;2;*;*;0;*;*
Mersch;68;4 810 €;3495 € - 6234 €;24;5 841 €;4412 € - 6828 €
Mertert;28;4 301 €;2989 € - 5498 €;6;*;*
Mertzig;3;*;*;2;*;*
Mompach;0;*;*;0;*;*
Mondercange;37;4 624 €;3482 € - 5722 €;30;5 918 €;5338 € - 6934 €
Mondorf-les-Bains;58;4 778 €;3435 € - 5997 €;15;5 849 €;5119 € - 6463 €
Niederanven;10;6 341 €;4678 € - 9292 €;1;*;*
Nommern;6;*;*;1;*;*
Parc Hosingen;11;3 313 €;2524 € - 4069 €;2;*;*
Petange;161;4 140 €;2826 € - 5417 €;129;4 585 €;3704 € - 5798 €
Preizerdaul;2;*;*;2;*;*
Putscheid;6;*;*;0;*;*
Rambrouch;3;*;*;5;*;*
Reckange-sur-Mess;17;4 443 €;2459 € - 5420 €;1;*;*
Redange;8;*;*;10;4 378 €;3661 € - 6124 €
Reisdorf;5;*;*;0;*;*
Remich;36;4 410 €;2815 € - 6417 €;1;*;*
Roeser;58;5 459 €;4336 € - 7096 €;3;*;*
Rosport;4;*;*;0;*;*
Rumelange;41;4 002 €;2255 € - 5464 €;0;*;*
Saeul;5;*;*;0;*;*
Sandweiler;28;5 921 €;4336 € - 7298 €;13;6 578 €;5475 € - 7847 €
Sanem;103;4 651 €;3303 € - 6124 €;105;5 750 €;5212 € - 6481 €
Schengen;24;4 597 €;3437 € - 5646 €;3;*;*
Schieren;11;4 789 €;3704 € - 5303 €;0;*;*
Schifflange;82;4 694 €;3081 € - 6342 €;30;5 454 €;4678 € - 6797 €
Schuttrange;8;*;*;2;*;*
Septfontaines;24;4 366 €;3408 € - 5650 €;0;*;*
Stadtbredimus;10;4 515 €;3414 € - 6374 €;0;*;*
Steinfort;24;4 679 €;3993 € - 5860 €;60;5 691 €;5028 € - 6456 €
Steinsel;16;5 746 €;4598 € - 7696 €;9;*;*
Strassen;79;6 821 €;5056 € - 8686 €;34;8 234 €;6654 € - 10038 €
Tandel;2;*;*;0;*;*
Troisvierges;2;*;*;0;*;*
Tuntange;11;4 682 €;4065 € - 5249 €;3;*;*
Useldange;9;*;*;0;*;*
Vallée de l'Ernz;6;*;*;0;*;*
Vianden;4;*;*;27;4 087 €;3263 € - 4808 €
Vichten;2;*;*;0;*;*
Wahl;0;*;*;0;*;*
Waldbillig;2;*;*;3;*;*
Waldbredimus;0;*;*;0;*;*
Walferdange;47;5 707 €;4394 € - 7256 €;7;*;*
Weiler-la-Tour;6;*;*;3;*;*
Weiswampach;17;3 593 €;2340 € - 6232 €;8;*;*
Wiltz;31;3 386 €;2040 € - 6075 €;8;*;*
Wincrange;10;3 312 €;2512 € - 4442 €;0;*;*
Winseler;5;*;*;0;*;*
Wormeldange;9;*;*;0;*;*
