Période;2014;2015;2016;2017;2018;2019;2020;2021;2022;2023
Rosport - Mompach;58,19169441;59,27807955;61,41580515;63,01033818;64,28946907;63,85141055;63,30821798;63,62362012;63,78132118;64,90275101
Waldbillig;63,44501718;66,75257732;70,6185567;75,90206186;76,58934708;77,44845361;78,69415808;81,70103093;82,56013746;84,19243986
Canton Grevenmacher;129,1337465;132,2751573;134,7968018;139,6839665;141,1174717;143,6391162;146,1276435;148,4505843;150,2010692;153,8723565
Betzdorf;135,8128834;137,1932515;139,4555215;146,0889571;149,0797546;153,4509202;156,940184;159,0874233;157,4769939;157,4003067
Biwer;77,42634315;78,89948007;80,4592721;78,55285962;78,72616984;80,63258232;79,4627383;81,62911612;83,05892548;83,44887348
Flaxweiler;62,6450116;62,6450116;65,56181637;68,27974809;69,90387802;71,09711634;71,19655287;71,52800795;71,39542592;72,68810076
Grevenmacher;281,9781553;288,288835;290,8980583;298,7257282;298,6043689;297,5728155;299,5145631;302,2451456;304,7330097;308,9805825
Junglinster;122,462983;128,0967858;131,1123149;136,0960636;137,4684001;140,8811845;146,0816179;148,6637775;152,9433008;155,687974
Manternach;68,13583815;68,09971098;69,21965318;74,71098266;76,84248555;78,14306358;78,7933526;80,05780347;81,25;83,02023121
Mertert;277,9016393;281,0491803;286,1639344;297,0491803;296,1967213;299,2131148;303,9344262;308,3934426;312,3934426;335,5409836
Wormeldange;146,2608696;153,8550725;155,6521739;161,3913043;164,4057971;169,3333333;172,173913;177,0434783;177,6811594;183,826087
Canton Remich;158,0198639;160,4754829;164,0963479;171,9480723;174,91202;178,3530148;181,7783687;184,0071948;185,477438;189,1452256
Bous;93,9727803;95,91704472;98,37977965;100,6480881;105,0550875;107,0641607;108,1659106;110,8878808;109,397278;113,5450421
Dalheim;106,0063224;107,1127503;107,7449947;113,1717597;119,1780822;122,4973656;124,1306639;124,2360379;125,658588;126,8703899
Lenningen;86,87960688;88,6977887;88,45208845;92,67813268;94,54545455;95,38083538;99,11547912;101,7690418;100,7371007;101,7199017
Mondorf-les-Bains;339,4582723;340,4831625;351,3909224;365,9590044;372,0351391;386,0175695;392,3133236;395,6076135;397,9502196;397,0717423
Remich;650,8506616;657,0888469;658,2230624;686,5784499;689,0359168;700,7561437;705,4820416;715,879017;723,0623819;758,979206
Schengen;137,2692553;141,9159771;146,8809675;152,9280713;153,1508593;153,8192234;156,7154679;157,7339274;161,9987269;165,3723743
Stadtbredimus;160,6686332;164,6017699;176,4011799;183,480826;187,2173058;186,2340216;191,4454277;193,5103245;194,4936087;195,0835792
Waldbredimus;75,49721559;74,94033413;73,9061257;87,35083532;88,78281623;93,95385839;98,64757359;101,3524264;100,636436;106,3643596
Canton Capellen;218,8996536;223,4275388;227,2777471;236,9810752;241,8904673;246,3028964;251,46328;254,6709503;259,4799458;265,1874906
Dippach;221,5269805;231,7451206;233,6969001;239,8392652;241,6762342;248,7370838;255,3960964;256,0849598;257,9793341;266,0734788
Garnich;92,74463007;95,03579952;97,51789976;100,1909308;101,6229117;103,4367542;104,6778043;106,0143198;107,5417661;109,2601432
Habscht;126,2380806;129,344817;130,6367272;133,1897878;136,1427253;139,2802215;145,4936942;147,7391572;152,1378038;153,552753
Käerjeng;293,2877933;296,3765964;297,980398;303,8907039;305,7321057;309,1476091;310,7811108;312,3552124;320,01782;327,1458271
Kehlen;189,4251242;190,7381121;193,6479773;209,4748048;214,9041874;217,9914833;221,1497516;217,8140525;219,4109297;226,7920511
Koerich;125,2648305;129,2372881;133,4745763;133,8983051;136,5995763;137,2351695;138,559322;139,9364407;139,1949153;143,3262712
Kopstal;411,3924051;422,4050633;436,4556962;464,9367089;485,9493671;491,6455696;511,1392405;521,0126582;529,7468354;542,5316456
Mamer;296,768337;307,2984749;315,7225853;333,5148874;345,9694989;353,3042847;359,9491649;371,0239651;380,2832244;386,4560639
Steinfort;386,5131579;385,0328947;391,6118421;417,8453947;421,5460526;434,2927632;448,9309211;461,9243421;473,1907895;482,8125
Canton Esch;663,0143757;678,0244676;691,8276558;711,3193558;728,3436998;742,575277;755,2992544;762,7960621;768,0850187;780,738971
Bettembourg;467,1009772;473,6156352;483,9460214;499,5812006;512,005584;521,0330386;526,7100977;529,2694276;530,7119591;531,5030247
Differdange;1 062,71;1 095,76;1 118,35;1 145,27;1 180,93;1 208,12;1 235,75;1 256,49;1 291,30;1 331,65
Dudelange;908,3723106;923,0121609;935,5940131;957,9045837;976,0991581;986,2956034;995,8372311;1 006,22;1 009,49;1 026,80
Esch-sur-Alzette;2 271,78;2 319,58;2 365,09;2 395,68;2 441,81;2 465,64;2 523,90;2 524,60;2 521,05;2 552,26
Frisange;218,2854042;222,6804124;235,7026587;247,2599023;250,2441671;254,0423223;257,5149213;258,7628866;260,3906674;266,521975
Kayl;539,7711978;546,5006729;554,9798116;604,4414536;612,2476447;626,8506057;639,7039031;650,6056528;654,1722746;663,8627187
Leudelange;169,8599853;176,8607222;180,1768607;191,3043478;190,0515844;196,6101695;199,1156964;199,2630803;199,7052321;203,8319823
Mondercange;296,7757009;300;304,2056075;313,4579439;324,1121495;325,1869159;327,4299065;326,2616822;325,4205607;332,6635514
Pétange;1 447,19;1 473,76;1 506,54;1 528,75;1 566,47;1 605,53;1 640,74;1 683,49;1 710,65;1 723,64
Reckange-sur-Mess;109,9412341;112,4877571;112,8305583;117,3849167;119,9314398;122,9676787;127,0323213;128,9911851;131,2438786;133,8883448
Roeser;231,1764706;241,0084034;247,5210084;257,3529412;263,7815126;271,3865546;275,2521008;275,6302521;277,5210084;279,7058824
Rumelange;767,057101;781,5519766;793,8506589;815,9590044;811,8594436;821,0834553;820,4978038;821,8155198;832,3572474;833,3821376
Sanem;616,1752662;631,2448812;644,8812449;660,7698608;687,1416871;707,4938575;718,6732187;732,8009828;735,012285;750,7371007
Schifflange;1 210,38;1 256,68;1 287,16;1 346,17;1 394,29;1 450,06;1 464,72;1 464,46;1 445,01;1 473,80
Canton Luxembourg;701,1616204;722,6872431;746,3264279;752,1974335;765,7762308;782,240208;795,0641617;811,4945903;832,3240795;856,9906903
Bertrange;377,9183439;394,9971248;424,7843588;459,9769983;469,0626797;476,2507188;484,8763657;487,1765382;490,5117884;498,4473836
Contern;171,1435523;170,1216545;170,8515815;181,8004866;185,6934307;188,0778589;191,6788321;193,0900243;203,2603406;212,8467153
Hesperange;520,7567965;528,7656135;538,2072006;552,86554;560,1028655;568,662748;572,5202057;575,2020573;583,5047759;603,710507
Luxembourg;2 084,08;2 162,59;2 239,16;2 221,20;2 260,45;2 316,65;2 376,08;2 419,53;2 496,97;2 580,26
Niederanven;136,9197292;138,7088975;141,827853;147,2437137;148,8394584;150,4352031;152,6112186;153,5058027;155,9235977;161,0251451
Sandweiler;440,4915912;449,9353169;446,313066;464,683053;471,1513583;475,549806;478,3958603;473,3505821;480,2069858;485,2522639
Schuttrange;243,6645963;250,4968944;257,5776398;250,1863354;258,136646;258,757764;265,4658385;265,3416149;268,1987578;272,484472
Steinsel;225,6304448;229,9862448;237,0930766;243,5121504;243,9706557;247,9596515;249,56442;252,1779;254,1953232;253,9660706
Strassen;741,4565826;749,3930906;793,3706816;824,2763772;861,9981326;895,3314659;923,2492997;956,9561158;963,5854342;983,9402428
Walferdange;1 092,78;1 107,51;1 107,37;1 139,66;1 157,08;1 165,86;1 193,20;1 192,35;1 211,33;1 236,54
Weiler-la-Tour;124,1944933;127,5922671;131,5172818;139,8359695;139,9531342;140,5975395;140,8318688;143,8781488;146,2800234;146,3386057
Canton Mersch;130,750335;133,3943725;135,6945065;140,0223314;143,4211702;146,1589996;148,8432336;152,1348816;155,0736936;158,9057615
Bissen;135,7108434;137,1566265;138,746988;145,5903614;149,1566265;153,3975904;154,9879518;157,5421687;160,4337349;166,2650602
Colmar-Berg;167,7497969;171,242892;171,8115353;176,6856214;180,1787165;177,6604387;178,0666125;181,8034119;184,3216897;189,7644192
Fischbach;55,68587455;58,08261091;59,86741458;60,93829679;63,0290668;63,18204997;61,9581846;63,13105558;64,04895461;66,70066293
Heffingen;87,40629685;90,02998501;92,87856072;98,72563718;104,4977511;110,0449775;112,7436282;113,9430285;113,9430285;116,1169415
Helperknapp;98,61738899;100,3988301;103,3767615;108,8806169;111,0608881;112,7625631;116,6445094;120,6593991;124,8338208;131,3746344
Larochette;135,974026;137,7922078;136,4285714;140,3896104;139,3506494;139,7402597;142,4675325;144,1558442;142,7272727;143,3766234
Lintgen;181,6393443;183,4754098;184,3278689;190,295082;199,2786885;203,8032787;206,8852459;212,1311475;222,8196721;225,3114754
Lorentzweiler;210,487106;213,3524355;217,6504298;223,2664756;228,4240688;233,982808;243,3237822;249,1690544;254,4985673;259,0830946
Mersch;173,6831524;177,7442702;181,8657016;184,8612786;189,7868918;193,8681142;197,3462002;201,4073181;204,4028951;208,9465219
Nommern;55,7486631;58,51158645;59,31372549;62,07664884;61,54188948;63,32442068;62,43315508;64,12655971;64,52762923;64,03743316
